x y
1755.166667 -0.544
1755.25 -0.593
1755.333333 -0.623
1755.416667 -0.673
1755.5 -0.724
1755.583333 -0.747
1755.666667 -0.798
1755.75 -0.817
1755.833333 -0.831
1755.916667 -0.835
1756 -0.844
1756.083333 -0.85
1756.166667 -0.875
1756.25 -0.955
1756.333333 -0.958
1756.416667 -0.933
1756.5 -0.914
1756.583333 -0.859
1756.666667 -0.84
1756.75 -0.879
1756.833333 -0.919
1756.916667 -0.917
1757 -0.902
1757.083333 -0.881
1757.166667 -0.865
1757.25 -0.882
1757.333333 -0.92
1757.416667 -1.013
1757.5 -1.047
1757.583333 -1.002
1757.666667 -1.016
1757.75 -1.045
1757.833333 -1.062
1757.916667 -1.095
1758 -1.115
1758.083333 -1.117
1758.166667 -1.102
1758.25 -1.121
1758.333333 -1.131
1758.416667 -1.123
1758.5 -1.187
1758.583333 -1.232
1758.666667 -1.199
1758.75 -1.207
1758.833333 -1.173
1758.916667 -1.141
1759 -1.094
1759.083333 -1.053
1759.166667 -1.042
1759.25 -1.058
1759.333333 -1.03
1759.416667 -1.062
1759.5 -0.984
1759.583333 -0.984
1759.666667 -1.01
1759.75 -1
1759.833333 -1.004
1759.916667 -1.034
1760 -1.079
1760.083333 -1.085
1760.166667 -1.124
1760.25 -1.121
1760.333333 -1.114
1760.416667 -1.1
1760.5 -1.076
1760.583333 -1.059
1760.666667 -1.08
1760.75 -1.074
1760.833333 -1.079
1760.916667 -1.091
1761 -1.065
1761.083333 -1.045
1761.166667 -1.032
1761.25 -0.989
1761.333333 -0.989
1761.416667 -0.955
1761.5 -0.968
1761.583333 -0.957
1761.666667 -0.958
1761.75 -0.952
1761.833333 -0.921
1761.916667 -0.931
1762 -0.909
1762.083333 -0.917
1762.166667 -0.927
1762.25 -0.912
1762.333333 -0.877
1762.416667 -0.775
1762.5 -0.697
1762.583333 -0.718
1762.666667 -0.656
1762.75 -0.626
1762.833333 -0.616
1762.916667 -0.606
1763 -0.618
1763.083333 -0.596
1763.166667 -0.595
1763.25 -0.568
1763.333333 -0.55
1763.416667 -0.552
1763.5 -0.574
1763.583333 -0.585
1763.666667 -0.608
1763.75 -0.579
1763.833333 -0.59
1763.916667 -0.603
1764 -0.627
1764.083333 -0.618
1764.166667 -0.607
1764.25 -0.577
1764.333333 -0.538
1764.416667 -0.484
1764.5 -0.6
1764.583333 -0.618
1764.666667 -0.576
1764.75 -0.619
1764.833333 -0.625
1764.916667 -0.626
1765 -0.612
1765.083333 -0.573
1765.166667 -0.533
1765.25 -0.475
1765.333333 -0.444
1765.416667 -0.452
1765.5 -0.463
1765.583333 -0.474
1765.666667 -0.478
1765.75 -0.477
1765.833333 -0.472
1765.916667 -0.455
1766 -0.443
1766.083333 -0.43
1766.166667 -0.409
1766.25 -0.39
1766.333333 -0.388
1766.416667 -0.396
1766.5 -0.405
1766.583333 -0.457
1766.666667 -0.469
1766.75 -0.439
1766.833333 -0.408
1766.916667 -0.359
1767 -0.357
1767.083333 -0.341
1767.166667 -0.321
1767.25 -0.379
1767.333333 -0.404
1767.416667 -0.454
1767.5 -0.485
1767.583333 -0.464
1767.666667 -0.552
1767.75 -0.559
1767.833333 -0.557
1767.916667 -0.542
1768 -0.541
1768.083333 -0.537
1768.166667 -0.514
1768.25 -0.504
1768.333333 -0.509
1768.416667 -0.484
1768.5 -0.419
1768.583333 -0.469
1768.666667 -0.518
1768.75 -0.57
1768.833333 -0.57
1768.916667 -0.569
1769 -0.569
1769.083333 -0.569
1769.166667 -0.576
1769.25 -0.556
1769.333333 -0.593
1769.416667 -0.563
1769.5 -0.509
1769.583333 -0.539
1769.666667 -0.58
1769.75 -0.554
1769.833333 -0.562
1769.916667 -0.55
1770 -0.534
1770.083333 -0.546
1770.166667 -0.558
1770.25 -0.53
1770.333333 -0.517
1770.416667 -0.447
1770.5 -0.415
1770.583333 -0.423
1770.666667 -0.38
1770.75 -0.341
1770.833333 -0.294
1770.916667 -0.279
1771 -0.274
1771.083333 -0.263
1771.166667 -0.237
1771.25 -0.198
1771.333333 -0.192
1771.416667 -0.161
1771.5 -0.218
1771.583333 -0.198
1771.666667 -0.176
1771.75 -0.16
1771.833333 -0.159
1771.916667 -0.158
1772 -0.136
1772.083333 -0.123
1772.166667 -0.133
1772.25 -0.078
1772.333333 -0.096
1772.416667 -0.123
1772.5 -0.083
1772.583333 -0.041
1772.666667 0.049
1772.75 0.018
1772.833333 0.017
1772.916667 0.024
1773 0.05
1773.083333 0.059
1773.166667 0.043
1773.25 0.068
1773.333333 0.111
1773.416667 0.073
1773.5 -0.01
1773.583333 0.059
1773.666667 0.076
1773.75 0.085
1773.833333 0.043
1773.916667 0.047
1774 0.044
1774.083333 0.051
1774.166667 0.031
1774.25 0.007
1774.333333 0.017
1774.416667 0.02
1774.5 0.085
1774.583333 0.129
1774.666667 0.148
1774.75 0.095
1774.833333 0.116
1774.916667 0.097
1775 0.055
1775.083333 0.026
1775.166667 0.023
1775.25 -0.033
1775.333333 -0.082
1775.416667 -0.141
