x y
2000 0
1983 0
1965 0
1947 0
1928 0
1909 0
1890 0
1871 0
1851 -0.81
1830 0.02
1810 0.36
1789 -0.95
1766 -1.84
1742 -1.09
1719 -0.75
1696 -0.22
1673 -0.48
1649 -0.75
1625 0.23
1603 1.33
1580 0.35
1556 0.18
1531 -0.08
1505 -1.08
1477 -1.39
1448 -1.61
1419 -0.9
1391 -0.6
1363 -0.02
1335 -0.18
1305 -1.23
1274 -1.54
1243 -0.85
1212 -0.1
1183 -0.17
1152 -0.78
1119 -0.78
1088 -0.17
1056 -0.25
1024 -0.28
991 -0.81
958 -0.05
926 0.27
893 -0.83
858 -0.65
824 -0.27
789 -0.65
753 -1.48
715 -1.64
679 -0.4
644 0.33
610 -0.05
574 -0.13
539 -0.03
503 -0.46
465 -1
427 -0.96
388 -1.33
348 -1.51
308 -0.88
268 -1.06
228 -1.21
188 -1.24
147 -0.96
107 -0.53
69 0.15
30 -0.28
-9 -0.45
-49 -0.38
-89 -0.53
-129 -0.61
-171 -0.95
-212 -0.73
-253 0.12
-291 1.16
-331 -0.98
-374 -1.44
-418 -0.73
-460 -0.63
-501 0.3
-542 -0.27
-585 -1.36
-628 -0.17
-670 -0.02
-713 -1.19
-760 -1.97
-805 -0.61
-847 0.58
-889 -0.38
-934 -1.34
-980 -1.41
-1026 -0.73
-1070 -0.25
-1114 -0.53
-1158 -0.08
-1201 0.15
-1245 -0.43
-1289 -0.61
-1334 -0.3
-1379 -0.13
-1422 0.22
-1466 0.17
-1511 -0.91
-1558 -0.9
-1603 0.3
-1646 0.65
-1689 0.58
-1732 0.03
-1778 -0.63
-1824 -0.46
-1870 0
-1915 -0.23
-1962 -0.66
-2009 -0.73
-2057 -0.75
-2104 -0.91
-2153 -1.09
-2202 -1
-2250 -0.53
-2295 0.55
-2339 1.13
-2381 1.13
-2423 1.13
-2466 1.13
-2509 1.13
-2552 0.88
-2596 0.2
-2642 -0.33
-2690 -0.88
-2739 -0.58
-2786 0.25
-2831 0
-2880 -1.14
-2929 -0.66
-2977 -0.36
-3025 -0.66
-3072 0.13
-3118 0.18
-3165 -0.38
-3212 -0.22
-3259 0.28
-3305 0.1
-3351 0.08
-3397 0.5
-3442 0.5
-3488 0.2
-3534 0.02
-3581 0.08
-3627 0.03
-3674 -0.06
-3721 -0.15
-3769 -0.25
-3816 -0.22
-3863 0.15
-3909 0.45
-3955 -0.13
-4004 -0.73
-4052 -0.21
-4099 0.32
-4145 -0.17
-4193 -0.33
-4241 0.09
-4287 0.28
-4334 -0.55
-4385 -1.59
-4436 -1.09
-4486 -0.31
-4534 -0.62
-4583 -0.65
-4631 0.37
-4677 0.37
-4724 -0.36
-4773 -0.84
-4823 -1.28
-4874 -1.14
-4924 -0.58
-4973 -0.59
-5023 -1.05
-5074 -1.2
-5124 -0.63
-5172 0.02
-5220 -0.04
-5267 -0.11
-5315 -0.29
-5364 -0.81
-5413 -0.58
-5462 0.02
-5509 -0.03
-5555 0.48
-5602 -0.02
-5649 0.02
-5697 -0.04
-5745 -0.72
-5794 -0.57
-5844 -0.9
-5894 -0.93
-5944 -0.69
-5994 -0.54
-6043 -0.64
-6091 0.3
-6135 2.06
-6178 0.59
-6226 -0.87
-6276 -0.78
-6325 -0.55
-6374 -0.21
-6422 -0.26
-6471 -0.52
-6520 -0.65
-6569 -0.68
-6619 -0.73
-6668 -0.56
-6716 0.34
-6763 0.13
-6811 -0.81
-6861 -0.53
-6910 -0.54
-6960 -0.88
-7009 -0.48
-7058 -0.41
-7107 -0.6
-7156 -0.51
-7204 -0.13
-7252 0.26
-7298 0.03
-7346 -0.39
-7396 -0.82
-7445 -0.7
-7494 -0.16
-7542 -0.16
-7589 0.43
-7635 0.51
-7682 -0.46
-7732 -0.8
-7782 -0.85
-7831 -0.74
-7881 -0.36
-7929 -0.37
-7978 -0.65
-8027 -0.28
-8075 -0.47
-8124 -0.58
-8172 0.31
-8218 0.52
-8265 -0.18
-8315 -1.3
-8366 -0.97
-8415 -0.43
-8465 -0.76
-8515 -0.77
-8564 -0.79
-8614 -0.9
-8665 -0.96
-8715 -0.7
-8764 -0.26
-8812 -0.44
-8861 -0.62
-8910 -0.15
-8957 -0.12
-9005 -0.23
-9053 0.02
-9100 0.09
-9146 0.74
-9191 0.81
-9237 -0.18
-9286 -0.48
-9334 -0.27
-9383 -0.73
