x y
-5318000 1.4645
-5313000 1.818
-5308000 2.0705
-5303000 2.0705
-5298000 1.4645
-5293000 1.1615
-5288000 1.414
-5283000 2.02
-5278000 1.5655
-5273000 1.5655
-5268000 2.02
-5263000 1.111
-5258000 0.9595
-5253000 0.5555
-5248000 0.707
-5243000 1.1615
-5238000 1.414
-5233000 2.1715
-5228000 1.111
-5223000 1.3635
-5218000 1.818
-5213000 1.6665
-5208000 1.212
-5203000 1.01
-5198000 1.717
-5193000 1.919
-5188000 1.01
-5183000 0.909
-5178000 0.4545
-5173000 -0.0505
-5168000 0.909
-5163000 1.2625
-5158000 1.919
-5153000 1.4645
-5148000 1.5655
-5143000 1.515
-5138000 1.313
-5133000 2.7775
-5128000 2.626
-5123000 2.424
-5118000 2.02
-5113000 1.717
-5108000 1.414
-5103000 0.808
-5098000 1.01
-5093000 1.616
-5088000 2.727
-5083000 1.9695
-5078000 2.121
-5073000 2.5755
-5068000 1.3635
-5063000 1.515
-5058000 1.7675
-5053000 0.707
-5048000 0.808
-5043000 0.1515
-5038000 0.707
-5033000 2.0705
-5028000 2.1715
-5023000 2.323
-5018000 2.323
-5013000 1.6665
-5008000 1.313
-5003000 1.2625
-4998000 2.0705
-4993000 1.7675
-4988000 2.323
-4983000 1.2625
-4978000 0.1515
-4973000 1.313
-4968000 1.3635
-4963000 1.4645
-4958000 1.717
-4953000 1.818
-4948000 0.7575
-4943000 0.8585
-4938000 0.6565
-4933000 0.8585
-4928000 1.4645
-4923000 2.1715
-4918000 1.212
-4913000 1.7675
-4908000 1.7675
-4903000 0.8585
-4898000 0.2525
-4893000 -0.505
-4888000 -0.3535
-4883000 0.101
-4878000 1.4645
-4873000 1.717
-4868000 1.616
-4863000 1.111
-4858000 0.707
-4853000 0.606
-4848000 -0.505
-4843000 -0.202
-4838000 0.808
-4833000 1.212
-4828000 1.7675
-4823000 1.8685
-4818000 0.8585
-4813000 0.2525
-4808000 0.2525
-4803000 1.0605
-4798000 1.0605
-4793000 1.212
-4788000 1.3635
-4783000 1.0605
-4778000 1.01
-4773000 0.1515
-4768000 0
-4763000 1.01
-4758000 1.414
-4753000 1.717
-4748000 0.808
-4743000 1.212
-4738000 1.4645
-4733000 0.5555
-4728000 0.303
-4723000 0.3535
-4718000 1.2625
-4713000 0.8585
-4708000 1.414
-4703000 1.1615
-4698000 0.3535
-4693000 0.606
-4688000 0.1515
-4683000 0.707
-4678000 1.717
-4673000 1.414
-4668000 1.717
-4663000 1.1615
-4658000 1.616
-4653000 0.3535
-4648000 0.5555
-4643000 1.3635
-4638000 1.2625
-4633000 1.2625
-4628000 0.909
-4623000 0.9595
-4618000 0.808
-4613000 0.7575
-4608000 0.303
-4603000 0.5555
-4598000 1.111
-4593000 1.01
-4588000 1.01
-4583000 0.505
-4578000 0.4545
-4573000 0.202
-4568000 1.111
-4563000 1.3635
-4558000 0.909
-4553000 1.515
-4548000 1.616
-4543000 1.9695
-4538000 1.6665
-4533000 0.5555
-4528000 0.808
-4523000 0.9595
-4518000 2.0705
-4513000 1.0605
-4508000 1.3635
-4503000 0.6565
-4498000 0.404
-4493000 0.505
-4488000 0.505
-4483000 1.414
-4478000 1.2625
-4473000 1.717
-4468000 1.6665
-4463000 1.7675
-4458000 1.7675
-4453000 1.2625
-4448000 0.8585
-4443000 1.515
-4438000 1.616
-4433000 1.414
-4428000 1.616
-4423000 1.313
-4418000 1.1615
-4413000 0.3535
-4408000 0.8585
-4403000 0.606
-4398000 1.0605
-4393000 1.313
-4388000 1.8685
-4383000 2.222
-4378000 1.111
-4373000 1.5655
-4368000 1.2625
-4363000 0.6565
-4358000 0.8585
-4353000 1.5655
-4348000 1.818
-4343000 1.6665
-4338000 2.3735
-4333000 1.7675
-4328000 1.01
-4323000 1.8685
-4318000 1.818
-4313000 1.7675
-4308000 1.717
-4303000 1.616
-4298000 0.808
-4293000 0.8585
-4288000 0.909
-4283000 1.2625
-4278000 1.515
-4273000 0.707
-4268000 1.616
-4263000 1.212
-4258000 1.2625
-4253000 0.505
-4248000 1.0605
-4243000 0.707
-4238000 0.8585
-4233000 0.8585
-4228000 1.4645
-4223000 1.111
-4218000 1.01
-4213000 1.7675
-4208000 1.01
-4203000 0.808
-4198000 0.4545
-4193000 0.808
-4188000 1.2625
-4183000 1.717
-4178000 1.6665
-4173000 1.0605
-4168000 0.707
-4163000 1.01
-4158000 0.4545
-4153000 0.202
-4148000 0.4545
-4143000 1.111
-4138000 1.414
-4133000 1.111
-4128000 1.919
-4123000 1.01
-4118000 1.313
-4113000 1.4645
-4108000 1.6665
-4103000 1.616
-4098000 1.6665
-4093000 0.6565
-4088000 0.6565
-4083000 0.8585
-4078000 0.9595
-4073000 0.909
-4068000 0.606
