x y
-9748000 -0.464969418
-19459000 -1.571037189
-29203000 -1.643950043
-38914000 -0.405494194
-48658000 0.661597594
-58407000 0.497158027
-68117000 0.036302169
-77862000 4.514940807
-87572000 2.630004697
-97317000 0.284315567
-107067000 0.536236848
-116776000 -0.92959604
-126520000 -1.97793685
-136268000 -1.094035608
-145979000 -1.507722642
-155723000 -2.200446176
-165432000 -3.042286265
-175180000 -0.757306428
-184929000 -1.37159808
-194635000 -1.742127013
-204386000 -1.383698803
-214090000 -0.208968857
-223839000 0.720764302
-233591000 1.868756107
-243294000 2.328172219
-253046000 2.511362765
-262750000 6.35
-272501000 -1.18162016
-282250000 -2.732432345
-291956000 -3.023432447
-301706000 -1.960488499
-311451000 -0.904126246
-321157000 -1.523868366
-330906000 -1.065789161
-340616000 -2.010262577
-350361000 -0.718330445
-360111000 0.708697858
-369816000 0.261451029
-379566000 0.28301294
-389273000 -0.316641294
-399021000 -1.704522217
-408771000 -2.546499425
-418478000 -3.04900508
-428226000 -3.344153022
-437971000 -2.816006176
-447681000 -2.150466419
-457430000 0.406831101
-467136000 1.24356352
-476885000 3.530051662
-486633000 5.338167036
-496340000 0.599517116
-506088000 -0.476864463
-535290000 0.501237307
-545000000 0.187235547
