x,temperature{thickness:5;stroke:yellow}
-420766,0.23
-420135,0.08
-419507,0.15
-418888,0.32
-418281,0.54
-417682,0.51
-417095,0.94
-416526,1.27
-415969,1.4
-415419,1.43
-414872,1.36
-414327,1.32
-413781,1.13
-413235,1.16
-412692,1.07
-412147,0.85
-411601,0.8
-411062,1.08
-410533,1.15
-410009,1.23
-409492,1.34
-408979,1.27
-408483,2.13
-407995,1.64
-407496,1.28
-406992,1.12
-406485,0.94
-405977,0.85
-405469,0.71
-404957,0.49
-404441,0.31
-403923,0.18
-403401,-0.1
-402874,-0.28
-402346,-0.37
-401815,-0.58
-401276,-1.01
-400728,-1.23
-400179,-1.26
-399636,-1.09
-399097,-1.17
-398553,-1.58
-398003,-1.64
-397455,-1.65
-396909,-1.68
-396361,-1.92
-395808,-2.13
-395253,-2.2
-394694,-2.54
-394126,-2.8
-393543,-3.43
-392935,-4.23
-392297,-5.02
-391636,-5.4
-390972,-5.31
-390317,-5.17
-389658,-5.6
-388999,-5.36
-388349,-5.34
-387700,-5.44
-387061,-5.07
-386435,-5.02
-385804,-5.4
-385167,-5.46
-384528,-5.65
-383894,-5.36
-383288,-4.54
-382710,-4.1
-382159,-3.24
-381641,-2.5
-381134,-2.72
-380622,-2.92
-380095,-3.72
-379551,-4.05
-378997,-4.32
-378435,-4.68
-377864,-4.88
-377297,-4.63
-376743,-4.29
-376210,-3.72
-375702,-2.99
-375204,-3.27
-374690,-4.07
-374155,-4.55
-373604,-5.08
-373042,-5.26
-372478,-5.33
-371909,-5.66
-371331,-5.9
-370746,-6.15
-370149,-6.58
-369545,-6.67
-368960,-5.74
-368403,-5.42
-367858,-5.23
-367331,-4.54
-366829,-4.03
-366329,-4.46
-365816,-4.97
-365297,-4.86
-364784,-4.84
-364267,-5.13
-363743,-5.4
-363208,-5.88
-362659,-6.21
-362114,-5.84
-361580,-5.72
-361042,-6.2
-360503,-5.9
-359973,-5.79
-359440,-6.24
-358904,-6.05
-358376,-5.89
-357855,-5.8
-357327,-6.41
-356786,-6.64
-356247,-6.39
-355712,-6.58
-355167,-7.01
-354612,-7.24
-354060,-6.94
-353512,-7.13
-352958,-7.41
-352400,-7.46
-351838,-7.71
-351273,-7.71
-350710,-7.77
-350150,-7.64
-349596,-7.57
-349044,-7.64
-348493,-7.64
-347945,-7.61
-347404,-7.32
-346877,-7.02
-346357,-7.05
-345841,-6.92
-345330,-6.83
-344823,-6.84
-344319,-6.76
-343821,-6.65
-343327,-6.58
-342839,-6.43
-342348,-6.84
-341853,-6.76
-341364,-6.64
-340879,-6.59
-340401,-6.32
-339930,-6.26
-339462,-6.31
-338984,-6.88
-338490,-7.44
-337993,-7.13
-337505,-6.98
-337015,-7.4
-336521,-7.3
-336033,-7.16
-335544,-7.42
-335055,-7.3
-334567,-7.43
-334081,-7.28
-333595,-7.58
-333100,-7.87
-332600,-7.93
-332101,-7.94
-331602,-8.04
-331106,-7.86
-330624,-7.3
-330164,-6.63
-329725,-6.06
-329300,-5.76
-328883,-5.67
-328476,-5.11
-328081,-4.9
-327694,-4.56
-327318,-4.21
-326955,-3.68
-326602,-3.41
-326258,-3.03
-325924,-2.64
-325597,-2.55
-325273,-2.41
-324952,-2.39
-324639,-1.73
-324342,-0.96
-324061,-0.25
-323789,0.05
-323527,0.68
-323278,1.59
-323039,1.74
-322804,2
-322574,2.34
-322349,2.65
-322129,2.86
-321911,2.84
-321695,2.99
-321482,3.14
-321269,3.08
-321057,3.08
-320847,3.18
-320638,3.19
-320426,2.82
-320214,2.85
-320000,2.65
-319783,2.18
-319559,1.66
-319329,1.26
-319095,1.14
-318856,0.38
-318607,-0.09
-318354,-0.18
-318102,-0.12
-317853,0.15
-317608,0.24
-317364,0.16
-317118,0.02
-316872,0.01
-316628,0.2
-316385,0.02
-316141,-0.03
-315897,-0.14
-315649,-0.42
-315401,-0.39
-315155,-0.2
-314910,-0.33
-314666,-0.18
-314424,-0.18
-314179,-0.51
-313934,-0.46
-313689,-0.48
-313443,-0.64
-313194,-0.97
-312943,-0.99
-312692,-1.1
-312438,-1.32
-312183,-1.36
-311928,-1.38
-311674,-1.34
-311418,-1.61
-311159,-1.79
-310899,-1.92
-310634,-2.29
-310367,-2.35
-310099,-2.45
-309832,-2.22
-309568,-2.33
-309302,-2.39
-309035,-2.54
-308766,-2.78
-308493,-3.06
-308215,-3.32
-307934,-3.39
-307651,-3.69
-307365,-3.83
-307077,-3.86
-306789,-3.95
-306500,-4.09
-306206,-4.41
-305908,-4.69
-305608,-4.58
-305309,-4.72
-305005,-5.09
-304698,-5.14
-304386,-5.54
-304073,-5.42
-303764,-5.14
-303463,-4.82
-303171,-4.32
-302886,-4.13
-302606,-3.88
-302333,-3.46
-302068,-3.03
-301810,-2.88
-301558,-2.34
-301316,-1.74
-301077,-2.04
-300834,-2.28
-300583,-3.19
-300320,-3.64
-300061,-2.76
-299813,-2.52
-299560,-3.32
-299305,-2.92
-299052,-3.17
-298799,-2.97
-298547,-3.13
-298293,-3.26
-298039,-3.08
-297788,-3.19
-297533,-3.45
-297275,-3.69
-297012,-4.04
-296749,-3.81
-296485,-4.2
-296215,-4.48
-295943,-4.57
-295669,-4.7
-295393,-4.9
-295116,-4.81
-294840,-4.92
-294562,-5.04
-294289,-4.53
-294020,-4.57
-293749,-4.94
-293474,-4.96
-293198,-5.13
-292919,-5.34
-292637,-5.56
-292348,-6.06
-292060,-5.6
-291779,-5.34
-291502,-5.22
-291232,-4.76
-290976,-3.67
-290732,-3.46
-290490,-3.52
-290242,-4.13
-289986,-4.62
-289721,-5.07
-289455,-4.93
-289193,-4.65
-288929,-5.15
-288660,-5.39
-288382,-6
-288100,-6
-287823,-5.56
-287549,-5.67
-287271,-6.06
-286986,-6.5
-286698,-6.34
-286418,-5.8
-286145,-5.68
-285879,-5.09
-285617,-5.28
-285351,-5.62
-285079,-5.96
-284802,-6.15
-284525,-6.1
-284248,-6.27
-283968,-6.4
-283686,-6.57
-283398,-6.99
-283102,-7.45
-282804,-7.3
-282508,-7.27
-282218,-6.83
-281941,-5.95
-281677,-5.54
-281417,-5.55
-281160,-5.22
-280910,-4.85
-280661,-5.15
-280405,-5.67
-280143,-5.96
-279875,-6.39
-279602,-6.5
-279332,-6.11
-279071,-5.66
-278817,-5.3
-278564,-5.69
-278303,-6.18
-278038,-6.17
-277781,-5.49
-277533,-5.1
-277292,-4.67
-277057,-4.44
-276825,-4.43
-276593,-4.44
-276361,-4.46
-276130,-4.44
-275903,-4
-275680,-3.95
-275460,-3.61
-275246,-3.33
-275036,-3.01
-274830,-2.88
-274622,-3.35
-274409,-3.62
-274195,-3.48
-273983,-3.38
-273772,-3.53
-273559,-3.71
-273344,-3.73
-273127,-4.13
-272909,-3.95
